,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela,Vietnam
2020-03-02,0.0,,,,,,0.0,,0.0,0.0,0.036363182589597684,,,,0.0,0.0,,,,,,0.0,0.0,0.02158273381294964,,0.0,0.0,,0.0,,0.0,,,,0.3333333333333333,0.0,0.0,,0.02325581395348837,,,0.0
2020-03-03,0.0,0.0,,,,,0.0,,0.0,0.0,0.03671770847609673,,,,0.0,0.0,,,,,,0.0,0.0,0.020134228187919462,,0.0,0.0,,0.0,,0.0,,,,0.3333333333333333,0.0,0.0,,0.02325581395348837,,,0.0
2020-03-04,0.0,0.0,,,,,0.0,,0.0,0.0,0.03710845172044883,,,,0.0,0.0,,,,,,0.0,0.0,0.021021021021021026,,0.0,0.0,,0.0,,0.0,,,,0.3333333333333333,0.0,0.0,,0.02325581395348837,,,0.0
2020-03-05,0.0,0.0,,,,,0.0,,0.0,0.0,0.03743620944410644,,,,0.0,0.0,,,,,,0.0,0.0,0.019178082191780826,,0.0,0.0,,0.0,,0.0,,,,0.3333333333333333,0.0,0.0,,0.02127659574468085,,,0.0
2020-03-06,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.037724625108439706,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.016666666666666666,,0.0,0.0,,0.0,,0.0,,,1.0,0.2,0.0,0.0,,0.02083333333333333,,,0.0
2020-03-07,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.03803392348644299,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.015021459227467813,,0.0,0.0,,0.0,,0.0,,,1.0,0.16666666666666666,0.0,0.0,,0.02,,,0.0
2020-03-08,0.0,0.08333333333333333,0.0,,0.0,,0.0,,0.0,0.0,0.03835541863083528,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.016032064128256508,,0.0,0.0,,0.0,,0.0,,0.0,0.3333333333333333,0.1,0.0,0.0,,0.02,,,0.0
2020-03-09,0.0,0.08333333333333333,0.0,,0.0,,0.0,0.0,0.0,0.0,0.03862231016571853,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.018975332068311198,,0.0,0.0,,0.0,,0.0,,0.0,0.2857142857142857,0.05,0.0,0.0,,0.02,,,0.0
2020-03-10,0.0,0.05882352941176471,0.0,,0.0,,0.0,0.0,0.0,0.0,0.03880722489398791,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.022222222222222227,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.18181818181818185,0.030303030303030307,0.0,0.0,,0.018867924528301886,,,0.0
2020-03-11,0.0,0.05263157894736842,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.03906278963433472,0.0,0.0,,0.0,0.0,,,,,0.0,0.016129032258064516,0.029411764705882356,0.0234375,,0.0,0.0,0.0,0.0,,0.0,0.125,0.0,0.18181818181818185,0.020408163265306117,0.0,0.0,,0.01694915254237288,,,0.0
2020-03-12,0.0,0.05263157894736842,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.03919339692581426,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0136986301369863,0.029411764705882356,0.027298850574712645,,0.0,0.0,0.0,0.0,,0.0,0.09090909090909093,0.0,0.2,0.038461538461538464,0.0,0.0,,0.014285714285714284,,,0.0
2020-03-13,0.0,0.06451612903225806,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.039285934894063866,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.024390243902439025,0.05797101449275361,0.0286493860845839,,0.0,0.0,0.0,0.0,,0.0,0.037037037037037035,0.0,0.10714285714285714,0.078125,0.0,0.0,,0.013333333333333334,0.0,,0.0
2020-03-14,0.0,0.05882352941176471,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.039430949528878566,0.0,0.0,0.0,0.0,0.07142857142857142,,0.0,1.0,,0.0,0.0196078431372549,0.052083333333333336,0.027672955974842768,,0.0,0.0,0.0,0.0,,0.0,0.027777777777777776,0.0,0.07894736842105263,0.07207207207207207,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0
