,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Brazil,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,1.369809931312925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.5813219563754703e-07,2.471729745518739e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,1.825132503479045e-08,3.076742679873642e-06,4.670005720757008e-08,0.0,2.722063895206385e-07,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,1.6470929215680414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.739454152013017e-07,3.089662181898423e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,1.825132503479045e-08,4.102323573164856e-06,4.670005720757008e-08,0.0,3.581663020008401e-07,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,1.906450827512004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.8185202498317908e-07,3.707594618278108e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,1.825132503479045e-08,4.7860441686923306e-06,4.670005720757008e-08,0.0,3.581663020008401e-07,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,2.1250951698655123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.8185202498317908e-07,3.707594618278108e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,1.825132503479045e-08,4.7860441686923306e-06,4.670005720757008e-08,0.0,3.581663020008401e-07,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,2.369862890905045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.8185202498317908e-07,3.707594618278108e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,5.127904466456068e-06,4.670005720757008e-08,0.0,3.581663020008401e-07,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,2.557728890817307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.8975863476505643e-07,4.943459491037478e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,5.640694913101676e-06,4.670005720757008e-08,0.0,4.584528665610754e-07,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,2.767202259802317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.8975863476505643e-07,4.943459491037478e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,6.837205955274759e-06,4.670005720757008e-08,0.0,4.584528665610754e-07,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,2.942631864010328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,2.0557185432881113e-07,5.561391927417162e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,7.691856699684102e-06,4.670005720757008e-08,0.0,4.584528665610754e-07,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,3.083809272228418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,2.1347846411068848e-07,5.561391927417162e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,8.033716997447841e-06,4.670005720757008e-08,0.0,4.72779518641109e-07,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,3.109724219701522e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,2.2138507389256586e-07,5.561391927417162e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,2.7376987552185672e-08,8.54650744409345e-06,4.670005720757008e-08,0.0,4.72779518641109e-07,0.0
