,Sri Lanka,Malaysia,Dominican Republic,Philippines,Uruguay,India,El Salvador,Pakistan,Nepal,Cambodia,Thailand,Paraguay,Ecuador,Belize,Honduras,Japan,Singapore,Afghanistan,Nicaragua,Mexico,Suriname,China,Haiti,Argentina,Bhutan,Mongolia,Chile,Colombia,Guyana,Cuba,Bangladesh,Guatemala,Indonesia,Peru,Brazil,Panama,Costa Rica
2021-05-09,0.005858055176117591,0.013622629526208338,0.0249971791785768,0.010049590218968903,0.06349146032489024,0.016437575305240787,0.01083916455873014,0.003901484474805058,0.013573278171033697,0.0011599398073003414,0.0011973642742408887,0.04178923888157498,0.02272428932396081,0.03190726847928052,0.02215998856289921,0.00507356080449375,0.010487248354498189,0.0015928497954742023,0.0010551653741519807,0.018358609002942797,0.018924917410173974,7.13029283986523e-05,0.0011552696229864014,0.0697254745725469,0.0015642576839136769,0.013967334209399284,0.06528255680820397,0.05898887335081086,0.018175368917017033,0.010241982247831126,0.004696307593793098,0.013136341149571209,0.006269220894819903,0.05626309185115083,0.07144900840404576,0.08520643520115102,0.052334125227664716
2021-05-10,0.005948699987157484,0.013729871700542032,0.025047142747575937,0.010096998035746771,0.06398631786550872,0.016688121610570098,0.01086444900489516,0.00391076954138349,0.013860166151350552,0.001199057047230957,0.0012249287528428735,0.042052679764403376,0.0228222315176619,0.03190978343699151,0.02222268665251568,0.005113892420991107,0.01049015416702918,0.001599348916513036,0.0010563730026202519,0.01837530763032726,0.019047651516959467,7.130640225220097e-05,0.0011557958218581783,0.07011694920080697,0.0015759215771657257,0.014197637062226307,0.06551863918206795,0.059250533047615773,0.018256735985475978,0.010327532954238054,0.004705312424420219,0.013165254552088695,0.0062868318052867545,0.056424805575035146,0.07166439759907312,0.08528778372325001,0.052753236382224664
2021-05-11,0.006036075794192848,0.013840636089763091,0.025101715501907096,0.010136995814560514,0.06470571809471498,0.01693279184761431,0.010874316105837608,0.003918049106014459,0.014167715283019335,0.0012411050895416947,0.0012509746063243746,0.04235117132349952,0.02294069169407121,0.03191229839470249,0.022318500641317657,0.005149061021300897,0.010493401839857936,0.0016065416196390182,0.001059241120232396,0.018394976798486572,0.01920277379081335,7.131265518858859e-05,0.001156497420353881,0.07062327969270227,0.0015888814585568913,0.014351985729154084,0.06571569708198943,0.059518422737201766,0.018363530262828345,0.010411582771058893,0.004715070187614948,0.013223806983055574,0.006304782722951741,0.05655734289187206,0.07200195969682999,0.08537423101311588,0.05311855996940783
2021-05-12,0.006124198802143533,0.013949392198565915,0.025163570769062855,0.010179302385991159,0.06537905828523657,0.017186039593635058,0.010885416594397861,0.003934056904854701,0.014460403486888474,0.0012753177214076153,0.001276819886676755,0.042652326733992,0.023048212725003486,0.03191732831012446,0.022385338218332315,0.005186016515421392,0.010496649512686692,0.0016142480872739992,0.001060599702259201,0.018416569449967456,0.019354486783923194,7.131682381284699e-05,0.0011573744184735094,0.0711048512342204,0.0016018413399480568,0.014473390411836408,0.06591809076789232,0.05980213307091634,0.01851863623707821,0.010497221765088532,0.004724621501557268,0.013280573257882377,0.006323351503159575,0.056654031442461554,0.0723326860586068,0.0854641547355501,0.053494876636054865
2021-05-13,0.006221615121478524,0.014079528769667476,0.02522948211931079,0.010230506478376264,0.06613300354345635,0.017479027068453844,0.010896054562601436,0.0039536139441617825,0.014797777436704802,0.001316887265370578,0.0013056451106617827,0.04298642978017618,0.023163725566880122,0.03193241805639038,0.022478426203237926,0.005234294274749535,0.010499897185515448,0.0016226481369961284,0.001060599702259201,0.018437270163617774,0.019547111145961537,7.132168720781514e-05,0.0011578129175333234,0.07161545203659182,0.0016135052332001058,0.014854381488897268,0.06620732175506137,0.06013623363015351,0.01867882765310676,0.010596192190147525,0.004734221391794273,0.013340576940713068,0.006344055382332044,0.05674947650792741,0.07267609593325507,0.0855603360366073,0.05390849125088288
2021-05-14,0.006317537038982873,0.014215844665132834,0.02530332126832981,0.010285014060592665,0.06685211589742084,0.017760433420651776,0.010905767490091658,0.003972632259469433,0.015109891241346684,0.0013536120135623178,0.0013320921104015247,0.043308194988314105,0.023260307452335365,0.03193996292952334,0.022541124292854396,0.005278215492087864,0.010503315788493084,0.0016303289164056594,0.001060599702259201,0.018458909350985472,0.019739735507999876,7.132724537349301e-05,0.0011582514165931377,0.07209182397727115,0.0016342410434259705,0.01507919367768338,0.06650575958862974,0.06047776301359019,0.01882757682513327,0.010693043712261456,0.0047433051589002555,0.01340420875320329,0.0063646788296942,0.0569516793205937,0.07303422639832424,0.08566115258108895,0.05423533905994252
2021-05-15,0.006410049852311069,0.014346413788939862,0.025370799741590632,0.010337048588266853,0.06736050357440294,0.01801636883929177,0.010918409713174168,0.00399046447655985,0.01543161488382667,0.0013775369309510733,0.0013593270760056686,0.04355495174923905,0.023359156518200357,0.031947507802656296,0.02258686058044902,0.0053276238966148155,0.01050741811206625,0.0016375986842079914,0.001060901609376269,0.018481060433108102,0.01989656242222578,7.134183555839744e-05,0.0011582514165931377,0.07243993172193942,0.001656272841790952,0.01522073079518237,0.0668045112919617,0.060799167751576344,0.01895089878826636,0.010781861060708688,0.004751897091022558,0.013449197560981464,0.006383514497272614,0.05727080006378776,0.07331476914296464,0.0857619691255706,0.054416921176086756
2021-05-16,0.0065030763662685485,0.014457425351135473,0.025440859358637394,0.010386509679111136,0.0678222554622168,0.018250942731605886,0.010930281068995549,0.004005589492375812,0.015749391628623148,0.0014113308767626906,0.0013866480015222928,0.043790211888348175,0.02345647523728877,0.031952537718078274,0.02261755336505998,0.005370493534852154,0.01051117857534165,0.0016443289992758745,0.0010616563771689385,0.0185000470749275,0.020043161494219565,7.134808849478505e-05,0.001159216114524729,0.07274462833109385,0.0016653447587647678,0.015487638074948785,0.06708856342803116,0.06109620280171226,0.01904752218206136,0.010869442382437967,0.00475975430668776,0.013470743069421136,0.0064016189665754685,0.05748455818943229,0.0735089078084518,0.08585791866445658,0.0545790690981788
2021-05-17,0.00659358107713682,0.014562659245050933,0.025493035336595898,0.01043147181833434,0.06822643230167483,0.018461847133913273,0.010960190718727341,0.0040155219331720485,0.016055190396971418,0.0014453042594547235,0.001411905889139392,0.04402463081122687,0.02353713018036554,0.03196008259121123,0.022662582910903693,0.005405954679723874,0.010514597178319289,0.0016508024320892585,0.001063920680546947,0.018517785003784103,0.0201778280836092,7.13571205140116e-05,0.0011597423133965059,0.07309404150746208,0.0016718246994603505,0.01568316672218338,0.06730900462534177,0.06135141632302131,0.019106004762516227,0.010951373296313745,0.004768315878625886,0.013490837325996995,0.006419032453507919,0.057610817422840084,0.07370108466946293,0.08594622005169224,0.055118318906879585
2021-05-18,0.00667871528142622,0.014666966240311824,0.025546778437567294,0.010463137867269703,0.0689443931546722,0.01868882105037659,0.010965895136459694,0.004024757201733726,0.016362293357597715,0.001481670133885632,0.0014360892778504887,0.044316673045889744,0.023650715918893887,0.031962597548922216,0.02272659352091471,0.005435802131650461,0.010517844851148045,0.0016585859644005893,0.0010679964266273624,0.018537857482962456,0.02032442715560298,7.136406822110895e-05,0.0011606193115161342,0.07355972660897057,0.0016834885927123995,0.015774372752640705,0.06747174609777493,0.061606551232434074,0.019203899516755895,0.011028713253808551,0.004777830760347193,0.01354860831365259,0.0064360730293198335,0.05773841112808789,0.07404110725580725,0.08604147430406456,0.05535702577523785
