,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2020-12-27,50991,1581582,509198,10522,619,154886,7478123,152,364,600562,95631,1594946,163071,11163,166907,209652,44698,135172,6294,9805,119350,10209493,713422,221216,41,105694,1382014,1147,258278,5991,472863,230673,104468,1007318,470456,58530,40860,5995,6297,16559,112269
2020-12-28,51125,1585650,510322,10610,637,155401,7492191,152,364,602594,95701,1605531,163466,11296,167686,209847,44731,135247,6306,9805,119529,10230986,719786,223939,41,107501,1386130,1172,258876,5991,474349,232550,104891,1009101,471906,58532,41213,6056,6457,16846,112566
2020-12-29,51272,1590272,511441,10683,648,156028,7515185,152,364,604307,95753,1616425,163878,11411,168314,210155,44731,135348,6315,9805,119722,10252300,725651,226550,41,109484,1390625,1196,259475,5991,475857,234404,105298,1010306,473158,58532,41547,6122,6522,17211,112849
2020-12-30,51439,1595171,512561,10734,662,156770,7545655,152,364,606225,95810,1628253,164221,11557,169076,210645,44731,135545,6321,9805,119941,10273711,731974,229921,41,111161,1398362,1213,260082,5991,477486,236703,105839,1011337,474453,58537,41950,6193,6577,17649,113105
2020-12-31,51626,1599194,513668,10785,678,157665,7567878,152,364,608403,95877,1640268,164588,11708,169955,211321,44854,135771,6328,9806,120122,10294919,737966,233363,41,112875,1404936,1227,260679,5991,479283,239054,106294,1012490,475896,58547,42450,6254,6591,18064,113386
2021-01-01,51774,1602981,514755,10785,694,158241,7579618,152,364,610486,95955,1651378,164660,11866,170822,211988,44870,135829,6332,9806,120357,10315904,743521,236856,41,114515,1411428,1241,261254,5991,480892,241275,106737,1014252,477340,58551,42828,6309,6638,18393,113675
2021-01-02,51887,1607250,515818,10785,711,158807,7592069,152,364,612765,96032,1661023,164660,11997,171712,212499,44899,135829,6332,9806,120591,10336920,749595,239983,41,116275,1415757,1261,261812,5991,482430,243191,107002,1015882,478758,58559,43274,6372,6795,18682,113980
2021-01-03,52007,1610925,516890,10824,727,159386,7601765,152,364,614698,96124,1670905,164841,12137,172613,212852,44919,135872,6338,9806,120840,10358262,755799,242962,41,118060,1421442,1286,262378,5991,483760,245033,107257,1018048,480183,58571,43642,6434,6932,19033,114290
2021-01-04,52138,1615246,518020,10883,742,159957,7605837,152,364,616597,96206,1679923,165405,12257,173321,213073,44919,135919,6342,9806,120967,10379434,761527,245623,41,119904,1424702,1308,262972,5991,485129,246525,107499,1019703,481512,58582,43955,6489,7054,19286,114582
2021-01-05,52306,1619438,519147,10961,751,160537,7628724,152,364,618400,96274,1689711,165775,12378,173956,213406,44919,136148,6351,9806,121125,10400801,765998,247821,41,121578,1429279,1329,263578,5991,486474,248389,107772,1020832,482784,58589,44198,6557,7072,19584,114865
