,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-03-11,55912,2176884,553972,12361,868,257287,11280833,193,1203,872518,101220,2289364,208192,59163,244619,298045,61970,181165,8996,12612,175955,11305150,1405163,443609,47,319360,2151660,3526,275070,6543,599633,346803,175973,1383113,606472,60074,87032,8995,26593,67504,143611
2021-03-12,55928,2184057,554776,12366,868,258112,11363678,193,1248,877530,101243,2292692,208432,59972,245074,299273,62239,181933,9066,12629,176400,11324492,1411704,444827,47,321023,2157796,3562,275156,6550,601709,347309,178002,1388235,609955,60084,87352,9000,26647,68563,143926
2021-03-13,55941,2189743,555551,12371,868,258781,11438207,194,1296,882365,101263,2296078,208646,60757,245519,300463,62450,182536,9122,12645,176923,11343755,1417752,445862,47,322514,2163263,3617,275232,6556,603628,347820,179720,1394181,613489,60093,87650,9005,26698,69564,144264
2021-03-14,55955,2194727,556383,12376,868,259354,11503840,194,1336,886972,101288,2299450,208870,61533,245939,301630,62714,182954,9178,12660,177512,11363110,1423575,447130,47,323910,2168205,3681,275320,6563,605578,348326,181411,1400366,616983,60105,88010,9010,26758,70404,144602
2021-03-15,55967,2200374,557209,12381,868,260015,11558936,194,1381,891383,101303,2302735,209171,62359,246291,302334,62995,183461,9234,12678,178043,11382134,1429833,448112,47,325267,2172875,3738,275392,6575,607417,348815,183317,1405694,620249,60112,88362,9014,26792,71208,144916
2021-03-16,55985,2207588,558138,12387,868,260790,11630461,195,1445,895020,101329,2306156,209545,63230,246632,303463,63411,184266,9302,12702,178583,11402506,1435873,449305,47,326568,2179770,3785,275480,6595,609649,349320,185539,1411076,623347,60124,88661,9019,26837,72137,145212
2021-03-17,56001,2215842,559088,12393,868,261630,11709068,196,1493,898774,101355,2309554,209938,64072,247067,304971,63727,185148,9373,12727,179200,11423318,1441782,450624,47,327934,2186992,3818,275575,6606,611987,349822,187738,1413508,626347,60136,88965,9024,26889,73093,145463
2021-03-18,56016,2223267,559979,12398,868,262449,11782521,197,1531,902749,101376,2312887,210249,64774,247516,306145,63995,185969,9455,12748,179715,11443439,1447659,451910,47,329336,2194392,3848,275658,6616,614274,350320,189664,1416345,629253,60146,89269,9029,26943,73997,145754
2021-03-19,56032,2230545,560862,12403,868,263251,11860517,198,1585,907564,101399,2316194,210603,65640,247995,307478,64249,186707,9521,12763,180128,11463329,1454189,453092,47,330960,2201018,3891,275741,6629,616532,350813,191830,1421238,632896,60155,89580,9034,27000,75042,146052
2021-03-20,56052,2236809,561745,12410,868,263951,11932272,199,1632,911974,101437,2319749,210915,66332,248421,308930,64512,187393,9585,12780,180622,11483913,1459735,454157,47,332268,2206630,3943,275859,6639,618888,351358,193671,1427034,636493,60175,89849,9040,27056,76015,146412
