,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,8858,4543,158,434,3021,162,104,29,117,116401,1984,4759,60,9150,7188,3,2662,41571,2033,975,1225,39741,2375,144819,0,15987,137,0,36799,3466,2031,19410,0,1755,163,9033,13929,184522,0,234,216
2020-12-18,8877,4574,158,440,3029,164,106,29,117,117041,2002,4761,60,9221,7218,3,2703,41758,2046,980,1231,39923,2377,145195,0,16017,137,0,36844,3493,2046,19570,0,1767,163,9038,13943,185296,0,234,220
2020-12-19,8898,4604,158,446,3036,166,107,29,117,117710,2012,4762,60,9297,7253,3,2742,41915,2064,985,1238,40111,2379,145564,0,16050,137,0,36888,3521,2062,19731,0,1780,163,9042,13955,186054,0,234,226
2020-12-20,8925,4634,158,451,3044,168,109,29,117,118319,2027,4764,60,9377,7287,3,2782,42100,2083,990,1245,40291,2381,145925,0,16080,137,0,36935,3550,2080,19888,0,1793,163,9046,13966,186727,0,234,231
2020-12-21,8950,4662,158,456,3054,170,111,29,117,118821,2052,4766,60,9455,7324,3,2824,42286,2099,995,1251,40464,2384,146292,0,16116,137,0,36992,3577,2097,20035,0,1807,163,9052,13979,187405,0,234,237
2020-12-22,8982,4693,158,462,3063,172,113,29,117,119548,2066,4768,60,9543,7360,3,2866,42459,2117,1000,1258,40643,2387,146661,0,16143,137,0,37040,3606,2115,20200,0,1821,163,9057,13994,188214,0,234,245
2020-12-23,9010,4722,158,468,3073,175,115,29,117,120234,2081,4770,60,9615,7393,3,2904,42648,2132,1005,1264,40820,2390,147027,0,16168,137,0,37087,3633,2133,20349,0,1833,163,9061,14008,189019,0,234,249
2020-12-24,9036,4752,158,473,3083,178,117,29,117,120873,2097,4772,60,9680,7428,3,2938,42838,2149,1010,1270,40996,2393,147397,0,16206,137,0,37141,3659,2150,20495,0,1845,163,9065,14024,189771,0,234,254
2020-12-25,9057,4781,159,478,3093,180,119,29,117,121511,2114,4773,60,9748,7459,3,2977,43036,2168,1015,1277,41174,2396,147766,0,16236,137,0,37187,3685,2166,20651,0,1856,163,9068,14037,190488,0,234,258
2020-12-26,9079,4809,160,484,3106,182,121,29,117,122111,2127,4775,60,9824,7496,3,3012,43218,2184,1020,1284,41358,2399,148132,0,16281,137,0,37244,3711,2182,20799,0,1868,163,9073,14051,191232,0,234,265
