,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,8871,4549,159,436,3025,163,105,29,117,116499,1995,4760,60,9163,7192,3,2672,41657,2038,976,1227,39761,2376,144827,0,16021,137,0,36808,3471,2034,19435,0,1757,163,9036,13933,184787,0,234,220
2020-12-18,8904,4584,161,444,3037,167,107,29,117,117340,2027,4763,60,9257,7226,3,2727,41954,2058,982,1235,39960,2379,145217,0,16078,137,0,36861,3504,2054,19633,0,1772,163,9043,13950,185747,0,234,231
2020-12-19,8938,4624,162,453,3047,171,109,29,117,118185,2055,4766,60,9348,7266,3,2777,42196,2083,988,1244,40173,2382,145590,0,16138,137,0,36927,3537,2074,19820,0,1787,163,9049,13965,186747,0,234,243
2020-12-20,8976,4662,163,462,3062,175,112,29,117,118974,2084,4769,60,9446,7304,3,2842,42451,2108,994,1253,40374,2385,145957,0,16204,137,0,36990,3574,2098,20005,0,1804,163,9056,13980,187691,0,234,254
2020-12-21,9017,4695,164,470,3080,179,115,29,117,119604,2135,4773,60,9541,7344,3,2899,42745,2129,1000,1261,40564,2389,146333,0,16265,137,0,37076,3607,2119,20181,0,1821,164,9065,13998,188560,0,234,264
2020-12-22,9063,4735,165,479,3093,183,118,29,117,120498,2165,4777,60,9653,7382,3,2953,42986,2154,1006,1272,40775,2393,146705,0,16311,137,0,37136,3641,2141,20380,0,1837,164,9074,14016,189815,0,234,280
2020-12-23,9102,4770,167,488,3108,189,121,29,117,121435,2197,4780,60,9747,7418,3,3003,43240,2178,1012,1280,40977,2397,147078,0,16353,137,0,37200,3675,2164,20575,0,1853,164,9081,14034,190940,0,234,287
2020-12-24,9140,4809,168,496,3123,194,124,29,117,122230,2220,4784,60,9836,7457,3,3047,43498,2200,1018,1288,41170,2402,147451,0,16420,137,0,37275,3707,2184,20750,0,1867,164,9088,14056,191887,0,234,297
2020-12-25,9179,4848,170,505,3141,198,127,29,117,123035,2265,4787,60,9926,7494,3,3102,43849,2233,1024,1297,41381,2406,147827,0,16481,137,0,37336,3742,2205,20942,0,1882,164,9095,14074,192797,0,234,307
2020-12-26,9213,4884,172,514,3162,203,131,29,117,123804,2307,4792,60,10036,7536,3,3153,44140,2257,1030,1305,41590,2411,148202,0,16552,137,0,37421,3775,2225,21122,0,1897,164,9104,14093,193793,0,234,322
