,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,8847,4538,158,433,3018,161,104,29,117,116315,1973,4758,60,9140,7185,3,2656,41525,2029,975,1225,39731,2374,144815,0,15976,137,0,36793,3464,2029,19396,0,1754,163,9032,13927,184319,0,234,212
2020-12-18,8858,4564,158,437,3024,162,105,29,117,116854,1981,4759,60,9199,7213,3,2689,41639,2038,979,1230,39897,2376,145188,0,15993,137,0,36831,3485,2042,19534,0,1763,163,9036,13939,184976,0,234,212
2020-12-19,8873,4589,158,442,3029,163,106,29,117,117379,1985,4760,60,9259,7245,3,2720,41745,2051,984,1236,40073,2378,145555,0,16013,137,0,36867,3508,2056,19671,0,1773,163,9038,13950,185558,0,234,214
2020-12-20,8891,4613,158,446,3034,164,107,29,117,117858,1987,4760,60,9324,7277,3,2750,41869,2065,989,1241,40240,2380,145914,0,16027,137,0,36903,3532,2070,19802,0,1784,163,9040,13959,186032,0,234,215
2020-12-21,8910,4635,158,450,3040,165,109,29,117,118245,1996,4761,60,9390,7311,3,2782,42006,2077,994,1246,40402,2382,146276,0,16051,137,0,36946,3554,2086,19931,0,1796,163,9044,13969,186528,0,234,217
2020-12-22,8933,4660,158,454,3046,166,111,29,117,118828,2004,4762,60,9466,7344,3,2817,42122,2089,998,1252,40565,2385,146642,0,16066,137,0,36984,3578,2101,20079,0,1809,163,9047,13981,187112,0,234,221
2020-12-23,8950,4684,158,458,3053,168,113,29,117,119412,2010,4763,60,9524,7375,3,2848,42251,2098,1002,1257,40724,2387,147005,0,16079,137,0,37021,3601,2115,20207,0,1820,163,9049,13992,187738,0,234,222
2020-12-24,8967,4711,158,462,3059,169,115,29,117,119942,2017,4764,60,9580,7407,3,2876,42389,2112,1006,1262,40885,2390,147372,0,16094,137,0,37064,3623,2129,20334,0,1830,163,9051,14005,188330,0,234,222
2020-12-25,8980,4735,158,465,3065,170,116,29,117,120433,2019,4764,60,9634,7435,3,2904,42506,2123,1010,1267,41046,2392,147737,0,16112,137,0,37096,3644,2141,20460,0,1839,163,9053,14016,188927,0,234,222
2020-12-26,8994,4757,158,469,3071,171,117,29,117,120925,2019,4765,60,9692,7469,3,2929,42591,2133,1014,1273,41207,2394,148099,0,16125,137,0,37131,3663,2153,20585,0,1848,163,9056,14027,189489,0,234,224
