,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,422802,119889,5259,74099,53668,26376,7501,58255,5243,956247,126729,88439,4018,403162,433472,148,158227,1353938,38572,104120,38837,1345554,122786,9525724,384,551805,8750,38,927402,168348,69504,528111,412,240421,4225,127173,179183,6304582,333,8306,4734
2020-12-18,426529,120562,5326,75490,54291,27173,7880,58277,5248,966760,130208,88547,4050,408026,437450,148,160994,1359752,38661,104675,39341,1354447,123567,9561930,384,553730,8847,39,930120,170156,70365,534679,415,242209,4225,127399,179896,6360317,340,8325,4843
2020-12-19,429362,121245,5434,76816,55113,27916,8255,58290,5252,976493,133736,88659,4074,413591,441014,148,163600,1365199,38744,105079,39847,1362526,124446,9597186,384,556001,8936,39,932764,172096,71188,541029,420,243765,4225,127622,180819,6405193,350,8340,4962
2020-12-20,435504,121762,5504,78388,56120,28693,8597,58308,5256,986489,139235,88769,4107,419947,445186,148,166225,1370913,38845,105609,40201,1371490,125621,9634119,384,558353,9018,40,935803,174241,72012,547069,424,245535,4225,127841,183493,6473674,358,8361,5070
2020-12-21,439916,122276,5564,79739,56787,29608,9005,58330,5262,997436,144606,88877,4137,430473,449208,148,169008,1377105,38951,106170,40629,1380494,126705,9670483,384,560517,9112,41,938599,176299,72917,553683,428,247411,4225,128072,185149,6532423,369,8385,5207
2020-12-22,442469,123059,5658,81306,57763,30548,9443,58356,5269,1008369,149667,88987,4173,439170,453500,148,171880,1382864,39055,106621,41044,1390192,127673,9708324,384,562922,9209,42,943429,178755,73800,561017,432,249395,4226,128321,186243,6603547,381,8406,5346
2020-12-23,445487,123774,5737,82905,58993,31513,9912,58383,5275,1019204,153135,89098,4206,446498,458178,148,174713,1388530,39175,107101,41501,1399811,128589,9746354,384,565262,9332,43,947063,181254,74726,567788,436,251818,4226,128557,187270,6669026,391,8420,5477
2020-12-24,450668,124371,5816,84419,59736,32494,10334,58399,5280,1029350,157743,89215,4239,453658,462457,148,177341,1394201,39283,107730,41947,1408501,129657,9783525,384,567609,9426,45,950576,183329,75598,574366,439,253770,4226,128791,188542,6750727,403,8442,5604
2020-12-25,455081,125139,5904,86025,60696,33353,10748,58419,5285,1040710,162579,89342,4269,461748,467005,148,180295,1400719,39387,108308,42444,1419309,130453,9820894,384,569808,9539,47,954187,185734,76555,581878,442,255829,4226,129020,189850,6821861,417,8475,5742
2020-12-26,460894,125802,6014,87476,61579,34244,11179,58439,5291,1051698,166744,89460,4305,468148,471392,148,183385,1406275,39480,108738,43039,1427758,131469,9857692,384,572255,9639,48,957756,188226,77479,588792,447,258065,4226,129250,191713,6884332,434,8502,5873
