,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,418230,119716,5214,73717,53159,26176,7361,58245,5242,953910,124771,88425,4001,399886,432220,148,157351,1352260,38546,103696,38564,1342606,122409,9522343,384,551232,8728,36,925711,167941,69334,526915,410,239210,4225,127159,177478,6267158,325,8279,4709
2020-12-18,417556,120174,5244,74747,53327,26744,7604,58254,5245,962492,126424,88522,4008,402332,435255,148,159525,1356764,38610,103834,38625,1349040,122789,9555389,384,552566,8804,36,927136,169416,70068,532260,411,239973,4225,127365,176999,6297042,326,8276,4794
2020-12-19,416634,120628,5278,75729,53536,27287,7849,58258,5248,970357,128094,88618,4017,405638,438132,148,161572,1361223,38671,104044,38740,1355227,123128,9587359,384,554042,8877,36,928525,170776,70751,537199,412,240780,4225,127569,176580,6323416,327,8279,4878
2020-12-20,415578,121036,5313,76880,53650,27822,8047,58262,5250,978183,130506,88712,4026,408504,440960,148,163484,1365575,38733,104218,38783,1361807,123551,9620509,384,555486,8939,36,929882,172235,71400,541968,413,241548,4225,127767,176321,6351470,327,8279,4953
2020-12-21,414899,121421,5336,77936,53807,28403,8276,58272,5254,986674,132996,88806,4035,412614,443873,148,165556,1370165,38803,104422,38851,1368374,123957,9653450,384,556918,9006,36,931439,173680,72123,547100,414,242266,4225,127979,175898,6385088,328,8285,5046
2020-12-22,414365,121888,5376,79037,54103,28958,8490,58286,5258,994844,135296,88902,4044,416840,446761,148,167632,1374529,38880,104612,38999,1375301,124301,9687084,384,558178,9074,36,933271,175124,72817,552518,415,242994,4225,128205,175627,6411198,330,8285,5134
2020-12-23,413654,122351,5409,80104,54406,29529,8704,58291,5262,1003086,136916,88999,4053,420590,449562,148,169645,1378843,38961,104805,39104,1382300,124669,9720250,384,559638,9142,36,934749,176638,73500,557633,416,243806,4225,128420,175265,6445473,331,8285,5217
2020-12-24,413260,122780,5435,81136,54507,30117,8879,58296,5265,1011114,138532,89098,4063,423787,452560,148,171558,1383324,39032,104953,39154,1388954,125031,9752897,384,561077,9209,36,936374,177937,74178,562607,416,244524,4225,128629,174904,6478238,331,8285,5301
2020-12-25,412588,123229,5462,82166,54789,30675,9084,58304,5268,1019235,140444,89200,4071,427687,455562,148,173718,1387665,39104,105120,39217,1395636,125388,9785553,384,562420,9275,36,937866,179347,74884,567857,417,245270,4225,128835,174431,6510991,331,8288,5378
2020-12-26,412079,123673,5486,83213,54975,31208,9297,58306,5271,1027514,141801,89296,4081,430322,458399,148,175727,1392027,39163,105282,39345,1401627,125716,9817691,384,563816,9349,36,939456,180685,75570,572938,418,246282,4225,129035,174030,6533911,332,8292,5455
