,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,419835,119799,5233,73852,53309,26269,7407,58249,5243,954672,125679,88430,4008,400975,432750,148,157641,1352705,38553,103890,38672,1343703,122598,9524011,384,551456,8738,37,926249,168129,69398,527382,411,239737,4225,127166,178232,6279127,328,8285,4719
2020-12-18,420217,120322,5276,75010,53700,26925,7701,58265,5247,964123,128139,88532,4024,404533,436213,148,160089,1357723,38626,104182,38897,1351152,123085,9558159,384,552987,8824,37,928236,169761,70189,533101,413,240890,4225,127377,178247,6320216,331,8290,4817
2020-12-19,420518,120832,5332,76108,54089,27545,7995,58273,5250,972760,130499,88635,4039,408689,439378,148,162337,1362630,38697,104465,39147,1358095,123612,9591613,384,554697,8905,37,930193,171399,70937,538589,416,242019,4225,127588,178253,6355421,335,8297,4915
2020-12-20,422311,121278,5381,77376,54497,28149,8265,58283,5253,981538,133980,88733,4056,412744,442601,148,164555,1367503,38770,104758,39333,1365535,124319,9626088,384,556480,8977,37,932205,173067,71673,543856,418,243256,4225,127793,178863,6402876,338,8308,5006
2020-12-21,423686,121733,5416,78567,54825,28856,8567,58298,5258,990844,137488,88832,4073,418201,445825,148,166849,1372631,38856,105102,39547,1373086,124925,9660580,384,558271,9054,37,934318,174815,72460,549642,420,244409,4225,128012,179489,6446445,344,8319,5118
2020-12-22,424796,122308,5474,79902,55411,29580,8863,58315,5263,1000205,140880,88933,4093,423782,449219,148,169231,1377560,38943,105376,39811,1381277,125506,9695702,384,559986,9135,37,937039,176592,73227,555753,422,245639,4225,128245,179685,6493528,349,8324,5227
2020-12-23,425596,122884,5528,81225,56066,30292,9163,58330,5268,1009542,143330,89036,4111,428700,452600,148,171642,1382363,39035,105648,40050,1389417,126108,9730295,384,561890,9223,37,939545,178454,74020,561408,424,246881,4225,128468,179839,6539407,353,8328,5332
2020-12-24,427239,123379,5578,82430,56435,31032,9455,58339,5272,1018516,146309,89141,4129,433277,456124,148,173905,1387352,39118,105970,40288,1397084,126725,9764494,384,563651,9301,38,941843,180128,74796,567149,426,248101,4225,128687,180135,6590035,357,8337,5426
2020-12-25,428727,123951,5628,83619,56952,31712,9750,58353,5276,1027816,149338,89249,4147,438409,459639,148,176444,1392629,39204,106366,40481,1405528,127272,9799088,384,565301,9392,39,944170,181843,75586,573217,428,249365,4225,128902,180254,6640929,362,8351,5533
2020-12-26,431060,124496,5688,84822,57415,32390,10048,58362,5280,1037080,152003,89354,4164,442537,463098,148,178859,1397533,39277,106664,40823,1412456,127913,9832901,384,567129,9477,39,946556,183608,76343,579024,430,250900,4225,129115,180705,6679999,368,8363,5628
