,Serbia,South Sudan,US,Guinea,Jordan,Barbados,Oman,Marshall Islands,Nicaragua,Uzbekistan,Chad,Kiribati,Bhutan,Kosovo,Summer Olympics 2020,Djibouti,Vietnam,Eswatini,Cote d'Ivoire,Belarus,Liechtenstein,Suriname,Finland,Austria,Afghanistan,Mauritania,Russia,Vanuatu,Iraq,Saint Vincent and the Grenadines,Lithuania,Azerbaijan,Comoros,Haiti,Maldives,Senegal,Hungary,Qatar,Gambia,San Marino,Kazakhstan,Portugal,Congo (Kinshasa),Ghana,Guinea-Bissau,Ireland,Nepal,Angola,Mozambique,Saint Lucia,Thailand,Uruguay,Colombia,Luxembourg,Bahamas,Laos,Mongolia,Turkey,Indonesia,South Africa,Montenegro,MS Zaandam,Guatemala,Moldova,Cabo Verde,North Macedonia,Greece,Trinidad and Tobago,France,Mauritius,Paraguay,Niger,Brazil,Costa Rica,Malta,Albania,Liberia,Central African Republic,Sweden,Lebanon,Netherlands,Cameroon,Poland,Slovenia,Egypt,Armenia,Spain,Belize,Congo (Brazzaville),Tanzania,Saint Kitts and Nevis,Yemen,Somalia,Equatorial Guinea,Peru,Argentina,Syria,Saudi Arabia,Burundi,Honduras,Gabon,Seychelles,Sri Lanka,Ecuador,Sao Tome and Principe,Cambodia,Brunei,Malawi,Tunisia,United Arab Emirates,Switzerland,Georgia,Zambia,Rwanda,Chile,El Salvador,Grenada,Ethiopia,Sudan,Burkina Faso,Lesotho,Eritrea,Norway,Uganda,Burma,Romania,Botswana,Bahrain,Israel,Diamond Princess,Solomon Islands,New Zealand,Latvia,Tajikistan,Bangladesh,Nigeria,Mali,Morocco,Fiji,Guyana,China,Cuba,Andorra,Dominica,Kenya,Mexico,Dominican Republic,Cyprus,Kyrgyzstan,Algeria,Bolivia,Antigua and Barbuda,Iceland,Bulgaria,Iran,West Bank and Gaza,Italy,Japan,Denmark,Slovakia,Timor-Leste,Taiwan*,Canada,"Korea, South",Venezuela,Togo,Philippines,Madagascar,Malaysia,Bosnia and Herzegovina,Palau,Singapore,United Kingdom,Benin,Croatia,Ukraine,Micronesia,Namibia,India,Holy See,Libya,Sierra Leone,Czechia,Zimbabwe,Jamaica,Germany,Monaco,Panama,Samoa,Estonia,Kuwait,Pakistan,Papua New Guinea,Australia,Belgium
2020-02-01,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021781179042973678,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,
2020-02-02,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021707757065544196,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.5,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,
2020-02-03,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02155609657131264,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.5,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,
2020-02-04,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020711182351204286,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.5,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-05,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020517492711370263,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.5,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-06,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020695066531533003,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.5,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-07,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.021049545587804162,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-08,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.02186668115390884,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-09,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0227221371362575,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
2020-02-10,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.023893847098266988,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.3333333333333333,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0
