,Australia,Benin,Fiji,Algeria,Djibouti,Diamond Princess,India,Saint Lucia,Chile,Sao Tome and Principe,Cyprus,Central African Republic,Haiti,Cambodia,Belize,Dominica,Spain,Madagascar,Congo (Kinshasa),Samoa,Antigua and Barbuda,Costa Rica,Maldives,China,Ethiopia,Cameroon,Andorra,Malawi,Argentina,Guinea-Bissau,Slovakia,Vietnam,Greece,San Marino,Taiwan*,Slovenia,Turkey,Uzbekistan,Somalia,Egypt,Cote d'Ivoire,Congo (Brazzaville),Israel,Czechia,Bolivia,Malaysia,Lebanon,Jordan,Japan,North Macedonia,Montenegro,Pakistan,New Zealand,Micronesia,Brazil,Guinea,Mauritius,Finland,Austria,Malta,Mongolia,Solomon Islands,Iraq,Tanzania,Honduras,Togo,Gambia,MS Zaandam,Sierra Leone,Peru,Qatar,Timor-Leste,Russia,Sweden,Indonesia,Armenia,Burkina Faso,Iceland,Paraguay,Kiribati,Bahrain,Eritrea,Kosovo,South Sudan,"Korea, South",Estonia,Zambia,Colombia,Bahamas,Uruguay,Seychelles,Netherlands,Papua New Guinea,Tunisia,Oman,Azerbaijan,Philippines,Latvia,Saint Kitts and Nevis,Vanuatu,Guatemala,Chad,Equatorial Guinea,Romania,Barbados,Afghanistan,Rwanda,Gabon,Mozambique,Liechtenstein,Burundi,Singapore,Botswana,Bulgaria,Morocco,Comoros,Namibia,Poland,Denmark,Senegal,Luxembourg,Germany,United Arab Emirates,South Africa,Albania,Bosnia and Herzegovina,United Kingdom,Yemen,Belarus,Croatia,Burma,Syria,Monaco,Saudi Arabia,Liberia,Sri Lanka,Grenada,Brunei,El Salvador,Ecuador,Nigeria,Zimbabwe,Laos,Norway,Thailand,West Bank and Gaza,Tajikistan,Kazakhstan,Canada,Trinidad and Tobago,Nicaragua,Ireland,Switzerland,Venezuela,Eswatini,Mexico,Niger,Bhutan,Moldova,Lesotho,Marshall Islands,Jamaica,Mali,Lithuania,Nepal,Italy,Sudan,Dominican Republic,Cabo Verde,France,Serbia,Belgium,Uganda,Bangladesh,Ghana,Holy See,Suriname,Kyrgyzstan,Cuba,Libya,Guyana,Mauritania,Panama,US,Ukraine,Kuwait,Hungary,Angola,Georgia,Saint Vincent and the Grenadines,Kenya,Portugal,Iran
2020-02-01,0.16666666666666666,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.02312673450508788,,,,,,,,0.16666666666666666,,,0.0,,,,,,,,,,,0.0,,,0.05,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.42105263157894735,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-02,0.16666666666666666,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.027841250751653637,,,,,,,,0.16666666666666666,,,0.0,,,,,,,,,,,0.0,,,0.05,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.47368421052631576,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-03,0.16666666666666666,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.031142219517143438,,,,,,,,0.125,,,0.0,,,,,,,,,,,0.0,,,0.05,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.47368421052631576,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-04,0.15384615384615385,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.035559117560214286,,,,,,,,0.125,,,0.0,,,,,,,,,,,0.0,,,0.045454545454545456,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.4,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-05,0.15384615384615385,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.04063411078717201,,,,,,,,0.125,,,0.0,,,,,,,,,,,0.0,,,0.043478260869565216,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.4,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-06,0.14285714285714285,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.04828848857357701,,,,,,,,0.1,,,0.0625,,,,,,,,,,,0.0,,,0.043478260869565216,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.4,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-07,0.13333333333333333,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.05860451480504251,,,,,,,,0.1,,,0.0625,,,,,,,,,,,0.08333333333333333,,,0.043478260869565216,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.041666666666666664,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.4,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-08,0.13333333333333333,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.07051665127397186,,,,,,,,0.07692307692307693,,,0.058823529411764705,,,,,,,,,,,0.0625,,,0.041666666666666664,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.041666666666666664,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.06060606060606061,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,1.0,,,,,,,,,0.3125,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
2020-02-09,0.13333333333333333,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.08082050767029049,,,,,,,,0.07692307692307693,,,0.05555555555555555,,,,,,,,,,,0.0625,,,0.041666666666666664,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.12,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,1.0,,,,,,,,,0.34375,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.25,,,,,,,,,
2020-02-10,0.13333333333333333,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.09250602068281626,,,,,,,,0.07142857142857142,,,0.05555555555555555,,,,,,,,,,,0.05555555555555555,,,0.15384615384615385,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.044444444444444446,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,1.0,,,,,,,,,0.34375,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.25,,,,,,,,,
